name,rating,genre,year,score,director,writer,star,budget,gross,runtime
Six Pack,PG,Comedy,1982,5.9,Daniel Petrie,Mike Marvin,Kenny Rogers,,20225989,108
The World According to Garp,R,Comedy,1982,7.2,George Roy Hill,John Irving,Robin Williams,17000000,29712172,136
Diner,R,Comedy,1982,7.1,Barry Levinson,Barry Levinson,Steve Guttenberg,5000000,14099953,110
The Best Little Whorehouse in Texas,R,Comedy,1982,6,Colin Higgins,Larry L. King,Burt Reynolds,35000000,69701637,114
The Year of Living Dangerously,PG,Drama,1982,7.1,Peter Weir,David Williamson,Mel Gibson,13000000,10278575,115
Night Shift,R,Comedy,1982,6.6,Ron Howard,Lowell Ganz,Henry Winkler,,21095638,106
Summer Lovers,R,Comedy,1982,5.7,Randal Kleiser,Randal Kleiser,Peter Gallagher,,4968000,98
Victor Victoria,PG,Comedy,1982,7.6,Blake Edwards,Blake Edwards,Julie Andrews,,28229046,134
The Last Unicorn,G,Animation,1982,7.4,Jules Bass,Peter S. Beagle,Jeff Bridges,3500000,6455330,92
The Entity,R,Drama,1982,6.7,Sidney J. Furie,Frank De Felitta,Barbara Hershey,9000000,13277558,125
